,Name,Country,Lat,Lng,Date,Cloudiness,Humidity,Max_Temp,Wind_Speed
0,Camacha,PT,33.08,-16.33,1552870800,40,67,60.8,10.29
1,Belyy Yar,RU,53.6,91.39,1552870800,0,72,17.6,6.71
2,Coquimbo,CL,-29.95,-71.34,1552870800,0,82,59.0,4.7
3,Batagay-Alyta,RU,67.8,130.41,1552872734,12,64,-10.08,4.14
4,Sevsk,RU,52.15,34.49,1552872734,0,77,30.6,7.38
5,Mataura,NZ,-46.19,168.86,1552872734,44,62,71.73,8.95
6,Mount Gambier,AU,-37.83,140.78,1552870800,12,68,69.8,3.36
7,Hobart,AU,-42.88,147.33,1552872675,75,56,69.01,5.82
8,Thompson,CA,55.74,-97.86,1552870800,20,63,28.4,3.36
9,San Ignacio,CL,-36.8,-72.03,1552870800,44,68,64.4,9.17
10,Longyearbyen,NO,78.22,15.63,1552870200,75,78,12.2,13.87
11,Te Anau,NZ,-45.41,167.72,1552872735,64,62,69.57,2.68
12,Kabanjahe,ID,3.1,98.49,1552870800,20,78,78.8,8.05
13,Punta Arenas,CL,-53.16,-70.91,1552872187,75,81,48.2,29.97
14,Ponta Delgada,PT,37.73,-25.67,1552872694,20,87,59.0,6.93
15,Matara,PE,-13.74,-72.9,1552872735,56,100,40.86,2.13
16,Makinsk,KZ,52.63,70.42,1552872735,48,88,14.04,9.73
17,New Norfolk,AU,-42.78,147.06,1552872735,75,56,69.01,5.82
18,Staryy Nadym,RU,65.61,72.68,1552872736,68,76,5.49,8.72
19,Taoudenni,ML,22.68,-3.98,1552872736,0,21,53.46,4.36
20,Altamira,BR,-3.2,-52.21,1552872737,80,84,78.75,4.36
21,Kodiak,US,39.95,-94.76,1552872724,90,41,45.0,5.82
22,Isangel,VU,-19.55,169.27,1552870800,40,55,89.6,5.82
23,Cabo San Lucas,MX,22.89,-109.91,1552872321,75,68,69.01,5.46
24,Kurgan,RU,55.45,65.32,1552872737,0,61,7.56,6.38
25,Hamilton,CA,43.26,-79.87,1552872626,20,74,32.0,6.93
26,Turochak,RU,52.26,87.12,1552872738,64,75,20.34,3.36
27,Lichuan,CN,30.3,108.94,1552872738,0,58,59.13,2.8
28,Port Blair,IN,11.67,92.75,1552870800,20,88,78.8,1.12
29,Hermanus,ZA,-34.42,19.24,1552871786,76,96,63.0,3.0
30,Luderitz,NA,-26.65,15.16,1552872738,0,91,58.86,12.75
31,Cape Town,ZA,-33.93,18.42,1552872491,0,93,69.01,11.41
32,Cayenne,GF,4.94,-52.33,1552870800,0,83,75.2,1.12
33,Kapaa,US,22.08,-159.32,1552872504,40,50,77.0,24.16
34,Hithadhoo,MV,-0.6,73.08,1552872739,0,100,83.25,2.35
35,Mar del Plata,AR,-46.43,-67.52,1552872739,0,57,56.25,25.28
36,Avarua,CK,-21.21,-159.78,1552870800,12,83,84.2,16.11
37,Albany,US,42.65,-73.75,1552872664,90,39,30.2,4.7
38,Yellowknife,CA,62.45,-114.38,1552872481,20,51,37.4,4.7
39,Clyde River,CA,70.47,-68.59,1552870800,1,68,-20.21,16.11
40,Bredasdorp,ZA,-34.53,20.04,1552872717,32,88,69.8,3.36
41,Cherskiy,RU,68.75,161.3,1552872740,20,56,-11.79,7.72
42,Yar-Sale,RU,66.83,70.83,1552872740,64,84,11.34,12.41
43,Rikitea,PF,-23.12,-134.97,1552872740,80,100,78.75,21.47
44,Jinchang,CN,38.52,102.19,1552872740,0,89,37.26,4.14
45,Sibiti,CG,-3.69,13.35,1552872740,92,97,73.98,2.68
46,Astara,AZ,38.42,48.87,1552870200,90,100,33.8,6.93
47,Soyo,AO,-6.13,12.37,1552872741,88,98,76.05,2.68
48,Broome,GB,52.47,1.45,1552872539,44,93,39.99,9.17
49,Bethel,US,60.79,-161.76,1552870560,1,73,28.4,8.05
50,Gat,SN,14.69,-16.54,1552870800,0,73,69.8,9.17
51,Butaritari,KI,3.07,172.79,1552872742,92,100,77.22,16.22
52,Ushuaia,AR,-54.81,-68.31,1552870800,90,93,44.6,16.11
53,Buala,SB,-8.15,159.59,1552872742,88,80,87.3,4.92
54,Vaini,IN,15.34,74.49,1552870800,0,49,68.0,4.25
55,College,US,64.86,-147.8,1552872660,75,36,48.2,9.17
56,Sokolo,ML,14.74,-6.12,1552872742,0,40,69.03,4.81
57,Mount Isa,AU,-20.73,139.49,1552870800,0,11,95.0,8.05
58,Svetlogorsk,RU,53.14,59.15,1552870800,20,92,15.8,8.95
59,Qaanaaq,GL,77.48,-69.36,1552872743,0,98,-30.87,8.95
60,Tucuman,PE,-17.17,-70.89,1552872743,0,86,56.16,2.13
61,Atuona,PF,-9.8,-139.03,1552872743,68,100,82.71,15.21
62,Hilo,US,19.71,-155.08,1552872743,90,64,75.2,14.99
63,Mangrol,IN,25.33,76.51,1552869000,0,59,64.4,4.36
64,Ossora,RU,59.24,163.07,1552872743,56,100,9.63,3.36
65,Port Elizabeth,US,39.31,-74.98,1552872718,1,69,42.01,2.91
66,Kandrian,PG,-6.21,149.55,1552872744,68,89,81.0,3.69
67,Cidreira,BR,-30.17,-50.22,1552872744,68,91,72.99,13.31
68,Okhotsk,RU,59.36,143.24,1552872744,0,91,15.03,3.36
69,Iralaya,HN,15.0,-83.23,1552872744,8,79,79.02,6.38
70,Raasiku,EE,59.37,25.18,1552872725,90,93,39.99,14.99
71,Castro,CL,-42.48,-73.76,1552870800,0,71,51.8,8.05
72,Tuatapere,NZ,-46.13,167.69,1552872744,92,95,60.57,3.8
73,Fundacion,PH,10.64,122.18,1552872745,8,59,84.51,16.78
74,Guerrero Negro,MX,27.97,-114.04,1552872745,0,72,57.69,7.61
75,Emerald,AU,-23.53,148.16,1552872672,0,48,87.8,6.93
76,Pundaguitan,PH,6.37,126.17,1552872745,100,100,74.79,14.76
77,Marienburg,DE,52.12,9.98,1552872736,20,87,41.0,18.34
78,Nikolskoye,RU,59.7,30.79,1552872698,90,93,37.0,13.42
79,Goderich,CA,43.74,-81.71,1552872717,80,76,30.0,5.14
80,Botoroaga,RO,44.15,25.55,1552872712,0,81,48.0,3.36
81,Luau,CD,-10.7,22.23,1552872746,20,96,66.33,2.24
82,Saint George,GR,39.45,22.34,1552872207,0,81,55.0,1.68
83,Bahia Blanca,AR,-38.72,-62.27,1552872475,0,79,69.62,10.49
84,Barrow,AR,-38.31,-60.23,1552872746,0,80,63.99,8.84
